;Design 1;Design 2;Design 3;Design 4;Design 5;Design 6;Design 7;Design 8;Design 9;Design 10;Design 11;Design 12;Design 13;Design 14;Design 15;Design 16;Design 17;Design 18;Design 19;Design 20;Design 21;Design 22;Design 23;Design 24;Design 25;Design 26;Design 27;Design 28;Design 29
Horizontal tail leading edge root position [m];45.219817941737155;45.21388897795839;45.231222358351516;44.440849099498635;44.42943668086216;44.438816343094956;44.42989979751547;44.43891561224524;44.43180793216391;43.66828000846482;43.714783576783475;43.71520725182501;43.71520588074827;43.715205885031764;43.71520588501838;43.72645527480039;43.72065056799443;43.7262634925226;44.52283442432581;44.521220381127506;44.51916558675389;44.52339356680578;44.52104315027423;42.48031236172838;42.483133569332864;42.544126396900026;42.53136701675104;42.5344391436613;42.531530647840086
Horizontal tail leading edge sweep [deg];36.8005815297148;36.8005815297148;36.800581529714805;36.8005815297148;36.800581529714805;36.800581529714805;36.8005815297148;36.8005815297148;36.800581529714805;36.800581529714805;36.800581529714805;36.800581529714805;36.800581529714805;36.8005815297148;36.8005815297148;36.800581529714805;36.800581529714805;36.800581529714805;36.800581529714805;36.8005815297148;36.800581529714805;36.8005815297148;36.8005815297148;36.8005815297148;36.8005815297148;36.8005815297148;36.800581529714805;36.8005815297148;36.800581529714805
Horizontal tail mean aerodynamic chord [m];3.7746425523369753;3.779185229920216;3.7650577048251286;3.737845896014654;3.7465777661252986;3.7394182474975803;3.7461871605393995;3.7393389691291254;3.7449974788738936;3.6967397061026497;3.6825902227973364;3.6822754927664842;3.682276511280632;3.6822765080986115;3.6822765081085524;3.673919818556204;3.6782318864691983;3.6740622853911313;3.6861181646230388;3.6873171681417727;3.688843586819316;3.685702801637916;3.6874488253470665;3.8021827370700936;3.800385781508411;3.7798906017181126;3.789368998400212;3.787086846981164;3.78924744387692
Horizontal tail arm [m];31.26401356254147;31.278123501955907;31.245135200497906;30.80448468715666;30.820870032971396;30.806356830270847;30.819512934326994;30.80627054306155;30.817543996676086;30.32576814827448;30.310690333962075;30.32421933950559;30.32434154634523;30.324341164548343;30.324341165741117;30.30466535542309;30.315796125350563;30.306577969108638;30.716380022237864;30.719522093897602;30.72206518642406;30.718904250954946;30.722166027947004;29.99448308870731;29.97747245594973;29.97086484917946;29.971381677932712;29.981360682758215;29.987115209608795
Horizontal tail root chord [m];5.08124958968439;5.0873647325849065;5.0683469103415195;5.031715629250496;5.043470069784056;5.033832256246743;5.0429442545722685;5.0337255353661305;5.041342760022549;4.976380373599721;4.957332992227183;4.956909317185652;4.956910688262389;4.9569106839789;4.956910683992282;4.945661294210274;4.951466001016229;4.945853076488062;4.96208214468486;4.963696187883156;4.965750982256772;4.961523002204887;4.963873418736435;5.118322915286664;5.115903936645938;5.088314271543613;5.101073651692593;5.098001524782336;5.100910020603546
Horizontal tail tip chord [m];2.032499835873756;2.034945893033963;2.027338764136608;2.0126862517001984;2.0173880279136225;2.013532902498697;2.0171777018289077;2.013490214146452;2.0165371040090196;1.9905521494398883;1.9829331968908734;1.982763726874261;1.9827642753049557;1.98276427359156;1.9827642735969129;1.9782645176841098;1.9805864004064917;1.9783412305952248;1.9848328578739443;1.9854784751532624;1.9863003929027088;1.9846092008819547;1.9855493674945741;2.047329166114666;2.046361574658375;2.0353257086174454;2.040429460677037;2.0392006099129345;2.0403640082414185
Horizontal tail span [m];14.227498851116291;14.244621251237737;14.191371348956253;14.088803761901389;14.121716195395352;14.094730317490878;14.120243912802353;14.094431499025166;14.115759728063136;13.933865046079214;13.880532378236111;13.879346088119824;13.879349927134687;13.879349915140919;13.87934991517839;13.847851623788765;13.86410480284544;13.84838861416657;13.893830005117607;13.898349326072836;13.904102750318959;13.892264406173682;13.898845572462019;14.33130416280266;14.324531022608626;14.247279960322116;14.283006224739257;14.274404269390539;14.282548057689928
Vertical tail surface area [m^2];53.847579221632174;53.945303914915016;53.542065340748714;52.699746308661055;52.947945546447365;52.744250075178094;52.93662702110332;52.74207975580745;52.903023439852696;51.47217508450576;51.133066443003514;51.126660177525835;51.12675112745123;51.12675084331035;51.12675084419803;50.894956422967866;51.015898926905265;50.89957725263119;51.30720603532702;51.34134468218705;51.38366612051501;51.29595474388315;51.345086143216136;54.35377778808845;54.27737368893853;53.74890729851381;54.02274487444261;53.95582143693405;54.01787498523059
Vertical tail leading edge root position [m];43.038611537241046;43.032210609020716;43.05774500272016;42.287930149335594;42.27137335977252;42.28498102786765;42.27208042757515;42.285121456660924;42.27467291276384;41.54419715893699;41.59508160941867;41.59552495056781;41.59551865624708;41.59551867591145;41.595518675850016;41.61157855933519;41.60319450212779;41.61125804817584;42.39584102015035;42.39348295759359;42.39056077227399;42.39661835373051;42.393224570914214;40.30212347634861;40.30765579454079;40.3766416966499;40.35818191558816;40.36268899185256;40.35850979260264
Vertical tail leading edge sweep [deg];44.529286425512225;44.529286425512225;44.529286425512225;44.529286425512225;44.529286425512225;44.529286425512225;44.529286425512225;44.529286425512225;44.529286425512225;44.529286425512225;44.529286425512225;44.529286425512225;44.529286425512225;44.529286425512225;44.529286425512225;44.529286425512225;44.529286425512225;44.529286425512225;44.529286425512225;44.529286425512225;44.529286425512225;44.529286425512225;44.529286425512225;44.529286425512225;44.529286425512225;44.529286425512225;44.529286425512225;44.529286425512225;44.529286425512225
Vertical tail mean aerodynamic chord [m];6.0813899183592275;6.086905789052751;6.064113451001526;6.016224309428103;6.030374930337675;6.0187640573252335;6.029730348202964;6.018640226058505;6.027816241556927;5.945741426235095;5.9261232136381405;5.925751971403161;5.92575724210203;5.925757225635603;5.925757225687044;5.912309101031274;5.919329690349391;5.912577488658655;5.93620568687394;5.938180266530053;5.940627227772422;5.9355547681487355;5.938396632749449;6.1099073563156265;6.105611554325363;6.075815502643441;6.0912732385022075;6.087499131206062;6.090998682901198
Vertical tail root chord [m];7.262455994180502;7.269043101522586;7.2418242659728715;7.184634579413538;7.201533390873702;7.1876675714740434;7.200763624512587;7.187519690950445;7.198477779422627;7.100463223127557;7.07703495959199;7.0765916184428574;7.0765979127635825;7.076597893099212;7.076597893160645;7.060538009675466;7.068922066882869;7.060858520834823;7.089075548860315;7.091433611417072;7.094355796736669;7.088298215280155;7.091691998096448;7.296511800666431;7.291381711438009;7.255798971793735;7.274258752855471;7.269751676591075;7.273930875840997
Vertical tail tip chord [m];4.720596396217326;4.724878015989681;4.707185772882367;4.670012476618799;4.680996704067907;4.6719839214581285;4.680496355933181;4.67188779911779;4.679010556624708;4.615301095032912;4.600072723734794;4.599784551987858;4.599788643296328;4.599788630514488;4.5997886305544196;4.589349706289053;4.5947993434738645;4.589558038542635;4.607899106759205;4.609431847421097;4.6113312678788345;4.607393839932101;4.609599798762692;4.74273267043318;4.739398112434706;4.716269331665928;4.728268189356056;4.725338589784199;4.728055069296648
Vertical tail span [m];8.987289292798373;8.9954408381342;8.961757529141428;8.890985292024252;8.911897571206204;8.894738619699128;8.910944985334327;8.894555617551175;8.908116252035503;8.786823238620352;8.757830762495086;8.757282127823036;8.757289917044933;8.757289892710274;8.757289892786298;8.737415786973388;8.747791057767548;8.737812419533094;8.77273099171464;8.775649094128626;8.779265298461626;8.771769041409192;8.775968847644357;9.029433353324707;9.023084867904535;8.979051227594745;9.001895206658647;8.996317699781454;9.001489458853234
Take off thrust [N];390064.5247302055;389894.1975639797;389935.8699363531;386160.3577030792;386117.438961808;386115.46584133;386036.9325498705;386099.0941612143;386159.9048829328;382105.6410817688;382148.5684829039;382083.2511470502;382083.46251485863;382083.46185450774;382083.46185657074;381842.77540366515;381990.6354533216;381872.39008721604;385137.7868182876;385388.37925404496;385329.0038477176;385429.60926593107;385415.9006526569;384115.24875190406;384105.9486440203;383865.9423008615;384005.7725701408;383899.1677289415;383981.1368643078
Cruise Mach number [-];0.775;0.775;0.775;0.775;0.775;0.775;0.775;0.775;0.775;0.775;0.775;0.775;0.775;0.775;0.775;0.775;0.775;0.775;0.775;0.775;0.775;0.775;0.775;0.775;0.775;0.775;0.775;0.775;0.775
Cruise velocity [m/s];235.41812346599397;235.41812346599397;235.41812346599397;235.41812346599397;235.41812346599397;235.41812346599397;235.41812346599397;235.41812346599397;235.41812346599397;235.41812346599397;235.41812346599397;235.41812346599397;235.41812346599397;235.41812346599397;235.41812346599397;235.41812346599397;235.41812346599397;235.41812346599397;235.41812346599397;235.41812346599397;235.41812346599397;235.41812346599397;235.41812346599397;235.41812346599397;235.41812346599397;235.41812346599397;235.41812346599397;235.41812346599397;235.41812346599397
Cruise altitude [m];9000.0;9000.0;9000.0;9000.0;9000.0;9000.0;9000.0;9000.0;9000.0;9000.0;9000.0;9000.0;9000.0;9000.0;9000.0;9000.0;9000.0;9000.0;9000.0;9000.0;9000.0;9000.0;9000.0;9000.0;9000.0;9000.0;9000.0;9000.0;9000.0
Cruise fuel consumption [kg/km/pas];0.008246780159394762;0.008256313533974581;0.008241432957663842;0.008125211906221057;0.008124308851672288;0.008121665904721164;0.008127816716493088;0.008121321538001979;0.008127804108286705;0.008009003515659497;0.008009903281770345;0.008013682745870533;0.008013687179026277;0.008013687165176303;0.008013687165219573;0.007998348516467383;0.008006592976835872;0.007988677474601602;0.008093316587305674;0.008111565215805042;0.008105123232583016;0.008109836205987906;0.00809396745953816;0.008123587972047463;0.00811562761127682;0.008102797785803563;0.008126447111980128;0.008116431613013167;0.008110403460396754
Mission fuel consumption [kg/km/pas];0.023536835520636228;0.023521664258314347;0.02354385643228441;0.023270586562862683;0.02326310953292056;0.023262990689080106;0.02324826350111728;0.023259515625380627;0.023273214363832093;0.02298900240866425;0.02299651121910136;0.022994793646881072;0.022994806367562036;0.022994806327820347;0.022994806327944508;0.022975524985449716;0.022994105130103255;0.02297734521504913;0.02317665132237067;0.02322919697492838;0.023220615450643165;0.02322877881758043;0.023225676597218935;0.02318033167040403;0.023192360256732606;0.02316009102803315;0.0231835393824279;0.023174709665574257;0.023186960465608693
